Winery,Address,City,Website,Phone,NWP,App,Cave,Notes/Labels
Amles Wines,,Yountville,www.amleswines.com,,,Private,,"Nprofit, Melka WM, Selma Mansion, VM Found"
Ammons Horn,3010 Cuttings Wharf Road,Napa,www.ammonshornwines.com,265-7970,,Private,,
AMPL Wine,,Angwin,www.amplwine.com,415 260-7459,,Private,,
Amulet Estate,807 St. Helena Hwy S St. 1,St. Helena,www.amuletestate.com,200-4410,X,Yes,Yes,"75, MB, V, Vinifera, TB, Semper, HW"
Amuse Bouche,1130 Main Street,Napa,www.amusebouchewine.com,251-9300,X,Private,,"Vin Perdu, 2nd label"
Ancien Wines,Coombsville Road,Napa,www.ancienwines.com,255-3908,X,Yes,,"VC, wine made at Whitford Winery"
Anderson's Conn Valley,680 Rossi Road,St. Helena,www.connvalleyvineyards.com,800 946-3497,X,Yes,Yes,Ghost Horse
Andretti Winery,4162 Big Ranch Road ,Napa,www.andrettiwinery.com,259-6777,X,No,,
Andrew Geoffrey Vineyard,836 Chiles Avenue,St. Helena,www.andrewgeoffrey.com,968-9770,X,Yes,,
Angwin Estate Vineyards,1175 Ink Grade Road,Angwin,www.angwinestatevineyards.com,592-2524,X,Private,,
Ankh Wines,45 Enterprise Court #3,Napa,www.ankhwines.com,,X,Private,,
Anomaly Vineyards,455 Bella Vista Court,St. Helena,www.anomalyvineyards.com,967-8448,X,Private,,
Anthem,3454 Redwood Road,Napa,www.anthemwinery.com,227-0722,X,Private,Yes,
Antica Napa Valley,3149 Soda Canyon Road,Napa,www.anticanapavalley.com,265-8866,X,Private,Yes,
Aonair Wine,647 Greenfield Road,St. Helena,www.aonairwine.com,363-0680,X,Private,Yes,"Blue Oak Vineyard, Building winery, Coombsville"
Appellation Trading Company,55-5 Enterprise Court,Napa,www.atc-wines.com,224-1222,,Private,,
    ATC Brands: ,"Beau Vigne, Erikson & Caradin, Edict, Verdon Estate, Lara & Rand, Palatine, Thurlow, Truchon Cellars, Typhon  Estates, Carium Estates, Landy Vineyards, Macedon",,,,,,,
Apriori Cellar,1432 Main Street,St. Helena,www.aprioricellar.com,512-0606,X,Yes,,
Apsara Cellars,,,www.apsaracellars.com,,X,Private,,
Aratas Wine,,Calistoga,www.arataswine.com,299-9119,X,Private,,Amador wine also
Arcudi Wines,83 1st Street,Napa,www.arcudiwines.com,,,Yes,,
Arietta,3468 Silverado Trail,Oakville,www.ariettawine.com,963-5918,X,Private,,Fritz or Mary
Arkenstone Winery,335 West Lane,Angwin,www.arkenstonewine.com,888-6549,X,Private,Yes,
Arns Winery,P.O. Box 652,St. Helena,www.arnswinery.com,963-3429,X,Yes,,
Arnyca Cellars,P.O. Box 2737 ,Yountville,www.arnycacellars.com,,X,Private,,
Arrow & Branch,3003 Hagen Road,Napa,www.arrowandbranch.com,927-3640,X,Private,,Steve & Seanne
Art+Farm Wine,2185 Silverado Trail,Napa,www.artfarmwine.com,927-4343,,Private,,Circadia
Art House Wines,Cuttings Wharf Road,Napa,www.arthousewines.com,,X,Private,,
Artesa Winery,1345 Henry Road ,Napa,www.artesawinery.com,224-1668,X,No,,
Ashes & Diamonds,4130 Howard Lane,Napa,www.ashesdiamonds.com,666-4777,X,Yes,,
Au Sommet,4400 Atlas Peak Road,Napa,www.ausommetwine.com,251-9300,X,Private,,
Aubert Wines,333 Silverado Trail,Calistoga,www.aubertwines.com,963-4569,,Private,,
Auburn James,1001 Silverado Trail,St. Helena,www.auburnjames.com,967-9100,X,Yes,,
August Briggs,1307-B Lincoln Avenue,Calistoga,www.augustbriggswines.com,942-4912,X,No,,"# Made in Sonoma, Calistoga TR"
Avinodos Wines,"901 Enterprise Way, Suite B",Napa,www.avinodos.com,225-2350,X,Yes,,
Avril Taylor,4809 Cole Ave Suite 335,Dallas,www.avriltaylor.com,214 803-1271,,Private,,Times Ten Cellars? Dallas
AXR Winery,3199 St.Helena Hwy N,St. Helena,www.axrnapavalley.com,302-8181,X,Yes,,"Part of Unfiltered Collection, Jean's clients"
Azur Wines,15 Chateau Lane,Napa,www.azurwines.com,812-4203,X,Private,Yes,See Covert Estate
B Cellars,703 Oakville Cross Road,Oakville,www.bcellars.com,709-8787,X,Yes,Yes,
Bacio-Divino,P.O. Box 131,Rutherford,www.baciodivino.com,942-8101,X,Private,,Janzen label
Baldacci Vineyards,6236 Silverado Trail,Yountville,www.baldaccivineyards.com,944-9261,X,No,Yes,Four Sons
Ballentine Vineyards,2820 St. Helena Highway N,St. Helena,www.ballentinevineyards.com,963-7919,X,No,,
Band of Vintners,,,www.bandofvintners.com,,,Private,,
Banknote Wines,P.O. Box 2535,Napa,www.banknotewines.com,815-8453,,Private,,1/2 Sonoma
Barbour Vineyards,104 Camino Dorado,St. Helena,www.barbourwines.com,257-1829,X,Private,,Website down 1.20.22
Barlow Vineyards,4411 Silverado Trail ,Calistoga,www.barlowvineyards.com,942-8742,X,Yes,,
Barnett Vineyards,4070 Spring Mountain Road ,St. Helena,www.barnettvineyards.com,963-7075,X,Yes,Yes,
Barrett & Barrett Wines,PO Box 441,Calistoga,www.barrettwines.com,942-1105,X,Yes,,
Beaucanon Estate,1006 Monticello Road,Napa,www.beaucanonestate.com,254-1460,X,Private,,
Beaulieu Vineyard (BV),1960 St. Helena Highway ,Rutherford,www.bvwines.com,967-5230,X,No,,
Becklyn Cellars,1610 Spring Mountain Road,St. Helena,www.becklyncellars.com,295-8699,,Private,,
Behrens Family Winery,4078 Spring Mountain Road,St. Helena,www.behrensfamilywinery.com,963-1774,X,Yes,,
Bell Wine Cellars,6200 Washington Street,Yountville,www.bellwine.com,944-1673 ,X,Yes,,
Bella Union,PO Box 688,Rutherford,www.bellaunionwinery.com,967-9500,,Yes,,"FN/N&N, Wine made at long time family winery "
Bello Family Vineyards,,Napa,www.bellofamilyvineyards.com,967-8833,X,No,,Sparkling: alexandriecellars.com
Bench Vineyards,,Yountville,www.circa64wines.com,252-7272,X,Yes,,"Steltzners, Heron House"
Benediction Estates,,St. Helena,www.benedictionestates.com,713 256-9169,X,Private,,Still producing? Formerly Cabaud
Benessere Vineyards,1010 Big Tree Road,St. Helena,www.benesserevineyards.com,963-5853,X,Yes,,
Bennett Lane Winery,3340 Highway 128 ,Calistoga,www.bennettlane.com,942-6684,X,No,,
Benton Family,880 Vallejo Street,Napa,www.bentonfamilywines.com,888 317-8819,X,Yes,,"Croz Cab, Avatar"
Beresini Vineyards,,,www.beresinivineyards.com,257-0169,,Private,,Pinot Noir debra@
Bergman Family Vineyards,PO Box 321,St. Helena,www.bergmanestate.com,,,Private,,
Beringer,2000 Main St ,St. Helena,www.beringer.com,967-4412,X,No,Yes,Submerce Cellars
Bevan Cellars,3900 Matanzas Creek Ln,Santa Rosa,www.bevancellars.com,542-0123,X,Private,,
Biagi Family Wines,787 Airpark Road,Napa,www.biagifamilywines.com,256-2615,,Private,,
Bjorn,,Angwin,www.bjornvineyards.com,,,Private,,Bjorn@
Bishops Capture,,,www.bishopscapturewine.com,,,Private,,Claire Griffin Wines
Black Bottle Winery,,St. Helena,www.blackbottlewinery.com,415 806-4625,,Yes,,
Black Cat Vineyard,1352 4th Avenue,Napa,www.blackcatvineyard.com,321-0866,X,Yes,,At Star Hill Winery
Black Cordon Vineyard,4155 Dry Creek Road,Napa,www.blackcordonvineyard.com,226-6860,X,Private,,50/50 Napa/Sonoma
Black Sears Winery,2615 Summit Lake Drive,Angwin,www.blacksears.com,963-1334,X,Private,Yes,
Black Stallion,4089 Silverado Trail,Napa,www.blackstallionwinery.com,253-1400,X,No,,
Blackbird Vineyards,5033 Big Ranch Road,Napa,www.blackbirdvineyards.com,252-4444,X,Yes,,"NAPA WINE CO, MA(I)SONRY"
Blankiet Estate,2358 California Drive,Yountville,www.blankiet.com,945-0385,X,Private,Yes,
Blue Monster Wine,P.O. Box 4082,Yountville,www.bluemonster.wine,,,Private,,"Jason Dumont, Gellis Family Domain"
Bluford Wines,,Pope Valley,,965-1199,X,Private,,Jeff
Boeschen Vineyards,3242 Silverado Trail,St. Helena,www.boeschenvineyards.com,963-3674,X,Private,Yes,
Boich Family Cellar,651 Wall Road,Napa,www.boichfamilycellar.com,254-8500,X,Yes,,
BonAnno Wine,,Rutherford,www.bonannowine.com,,,Private,,Chicago/Napa Producing in Napa?
Bond Estates,P.O. Box 4261,Oakville,www.bondestates.com,944-9445,X,Private,Yes,
Bouchaine Vineyards,1075 Buchli Station Road ,Napa,www.bouchaine.com,252-9065,X,No,,
Bougetz Cellars,1455 Inglewood Ave,St. Helena,www.bougetzcellars.com,699-2187,X,No,,
Bounty Hunter,975 First Street,Napa,www.bountyhunterwine.com,252-5454,X,No,,"Pursuit, Broken Spur, Waypoint, Tin Star, Justice"
Boyd Family Vineyards,4042 Big Ranch Road,Napa,www.boydwine.com,254-7353,X,Yes,,
Bragg Vineyards,2020 Cedar Street,Calistoga,www.braggvineyards.com,415 425-4093,X,Private,,
Brand Napa Valley,90 Long Ranch Road,St. Helena,www.brandnapavalley.com,963-1199,X,Private,Yes,
Brasswood,3111 St. Helena Highway N,St. Helena,www.brasswood.com,302-5997,X,No,Yes,2nd winery: 1171 Tubbs Lane Calistoga
Bravante Vineyards,330 Stone Ridge Road,Angwin,www.bravantevineyards.com,972-1114,X,Yes,Yes,
Bremer Family,975 Deer Park Road ,St. Helena,www.bremerfamilywinery.com,963-5411,X,Yes,Yes,
Brian Arden,331 Silverado  Trail  N,Calistoga,www.brianardenwines.com,942-4767,X,No,,
Brian Edward Wines,198 Westgate Drive,Napa,www.brianedwardwines.com,927-3459,,Private,,
Brilliant Mistake Wines,,Napa,www.brilliantmistakewines.com,363-4014,X,Private,,
Brion,5537 Solano Ave,Napa,www.brionwines.com,339-7686,X,Yes,,B Wise + Amapola Creek Sonoma
Broman Cellars,945 Deer Park Road,St. Helena,www.bromancellars.com,800 514-4401,X,Private,,
Brookdale Vineyards,4006 Silverado Trail,Napa,www.brookdalewine.com,258-1454,X,Private,,SILENUS
Brookman Cellars,P.O. Box 1021,St. Helena,www.brookmancellars.com,266-8525,,Private,,Still producing?
Brown Estate,3233 Sage Canyon Road,St. Helena,www.brownestate.com,963-2435,X,Private,Yes,
Bryant Family,1567 Sage Canyon Road,St. Helena,www.bryantwines.com,963-0483,,Private,Yes,
Buccella,PO Box 11,Yountville,www.buccellawines.com,944-1000,X,Private,,Mica Label
Buehler Vineyards,820 Greenfield Road ,St. Helena,www.buehlervineyards.com,963-2155 ,X,Yes,,
Buhman Estate Vineyards,1331 Buhman Ave,Napa,www.buhmanwines.com,363-2793,X,Yes,,
Bunter Spring,1062 First Ave,Napa,www.bunterspringwinery.com,202 744-1343,X,Private,,"Winery in Napa, TR in Carmel"
Buoncristiani Family,P.O. Box 6946,Napa,www.buonwine.com,259-1681,X,Yes,,"Gemella, Taste at Vintner's Collective"
Burgess Cellars,1108 Deer Park Road ,St. Helena,www.burgesscellars.com,963-4766,X,Yes,,
Burly Cellars,4446 Stillson St,Napa,www.burlywine.com,299-7085,X,Private,,
Bydand Wines,PO Box 55,Calistoga,www.bydandwines.com,287-5563,,Private,,Produced in Napa? 1 NV Estate CS
C3 Wine Co,,,www.c3wineco.com,,,Private,,Charity 
Ca' Momi Wines,2515 Napa Valley Corp. Dr,Napa,www.camomiwinery.com,252-6664,X,No,,Indigo Eyes
Cade,360 Howell Mountain Road,Angwin,www.cadewinery.com ,945-1220,X,Yes,Yes,Owned by Plumpjack
Cain,3800 Langtry Road ,St. Helena,www.cainfive.com,963-1616,X,Yes,,
Cakebread,8300 St. Helena Highway ,Rutherford,www.cakebread.com,963-5222,X,Yes,,
Caladan Wines,,Oakville,www.caladanwines.com,,,Private,,"Chris Carpenter, Cab Franc"
Calafia Cellars,629 Fulton Lane,St. Helena,www.calafiacellars.com,963-0114,X,Yes,,
Calder Wine,1620 S. Whitehall Lane,St. Helena,www.calderwine.com,947-3126,X,Private,,
Caldwell Cave Winery,270 Kruezer Lane,Napa,www.caldwellvineyard.com,255-1294,X,Yes,Yes,
Calla Lily Wines,6307 Pope Valley Road,Pope Valley,www.callalilywines.com,965-9558,X,Private,,www.996makers.com
Calmere Estate,2750 Las Amigas Road,Napa,www.calmereestate.com,302-1160,X,Yes,,"Owned by Peju, formerly Acacia"
Cami Vineyards,1333B Lincoln Ave,Calistoga,www.camivineyards.com,709-6889,X,No,,
Canard Vineyard,1016 Dunaweal Lane,Calistoga,www.canardvineyard.com,942-1149,X,Yes,,
Cannatelli Wines,7035 Silverado Trail,Yountville,www.cannatelliwines.com,949 355-6188,X,Private,,
Cardano Estate Wines,,,www.cardanoestatewines.com,339-6901,,Private,,Ed Snider
Cardinale Estate,7600 St. Helena Highway ,Oakville,www.cardinale.com ,948-2643 ,X,Yes,,"KJ owned - Ropert Pepi, La Jota, FA"
Carneros Della Notte,1003 Dealy Lane,Napa,www.carnerosdellanotte.com,495-2464,X,Private,,
Carneros Wine Co,1134 Dealy Lane,Napa,www.carneroswinecompany.com,253-9464,X,No,,Made in Sonoma?
Caro Nonno Wines,,,www.carononnowines.com,925 785-9725,,Private,,Napa & some non Napa wines
Carte Blanche,,Napa,www.carteblanchewine.com,512-0766,,Yes,,About 50/50 Napa & Sonoma wines
Carter Cellars,1170 Tubbs Lane,Calistoga,www.cartercellars.com,445-0311,X,No,,"Made at Envy, Carter House, Eureka"
Casa Nuestra,3451 Silverado Trail ,St. Helena,www.casanuestra.com,963-5472 ,X,Yes,,
Casa Piena,PO Box 870,St. Helena,www.casapiena.com,967-7016,X,Yes,,
Caspar Estate,1780 Whitehall Lane,Rutherford,www.casparestate.com,967-8400,X,Private,,"Cultivar Wine, TR SF"
Castello di Amorosa,4045 North St Helena Hwy ,Calistoga,www.castellodiamorosa.com,942-8200,X,No,,
Castelluci,1575 St. Helena Highway,St. Helena,www.castelluccinapavalley.com,968-9686,X,Private,,
Castiel Estate,PO Box 985,Angwin,www.castielestate.com,927-8828,X,Private,,
Caterwaul,,Calistoga,www.caterwaulwines.com,341-3127,,Private,,
Cathiard Family Estate,1978 Zinfandel Lane,,,,X,No,Yes,Formerly Flora Springs
Cave Dog,,Napa,www.cavedogwine.com,,X,Private,,
Cavus Vineyards,100 Swan Way Ste. 206,Oakland,www.cavusvineyards.com,413-6141,X,Private,,
Caymus Vineyards,8700 Conn Creek Road,Rutherford,www.caymus.com,967-3010,X,Yes,,"Emmolo, Conundrum, MS, RS, SS, Bon"
Ceja Estate,1016 Las Amigas Road ,Napa,www.cejavineyards.com,255-3954,X,Yes,,
Celani Family Vineyards,2230 Big Ranch Road,Napa,www.celaniwines.com,877 273-6731,X,Private,,
Cervantes Family Vineyard,4520 Hardin Road,St. Helena,www.cervantesfamilyvineyards.com,,X,Private,,
Chaix Wines,,Rutherford,www.chaixwines.com,,X,Private,,
Chappellet,1581 Sage Canyon Road,St. Helena,www.chappellet.com,963-7136,X,Yes,,
Charles Krug,2800 Main Street,St. Helena,www.charleskrug.com,967-2200,X,No,,Aloft Wine www.aloftwine.com
Charter Oak Winery,831 Charter Oak Ave,St. Helena,www.charteroakwine.com,963-2298,X,Yes,,
Charthia Cellars,23 Walkabout Lane,Napa,www.charthiacellars.com,980-8026,X,Private,,
Chase Family Cellars,2252 Sulphur Springs,St. Helena,www.chasecellars.com,963-1284,X,Yes,,
Chateau Boswell,3468 Silverado Trail,St. Helena,www.chateauboswellwinery.com,963-5472 ,X,Yes,Yes,Jacquelynn Label
Chateau Montelena,1429 Tubbs Lane ,Calistoga,www.montelena.com,942-5105,X,No,Yes,
Checkerboard Vineyards,4325 Azalea Springs Way,Calistoga,www.checkerboardvineyards.com,942-8512,X,Private,Yes,
Chiarello Family,6525 Washington St A-2,Yountville,www.chiarellovineyards.com,220-8307,X,No,, NAPA STYLE. WS Down 1.20.22
Chimney Rock,5350 Silverado Trail ,Napa,www.chimneyrock.com,257-2641x3206,X,No,,
Chinnock Cellars,4336 Summerfield Drive,Napa,www.chinnockcellars.com,259-1628,,Private,,No longer producing?
Chiron Wine,PO Box 5118,Napa,www.chironwines.com,707 666-1111,X,Yes,,"Mostly non Napa wines, 1 napa wine"
Christopher Tynan Wines,,Yountville,www.christophertynan.com,235-5689,,Private,,
Cimarossa,1185 Friesen Drive,Angwin,www.cimarossa.com,307-3130,X,Private,,
Clark-Claudon,P.O. Box 15,St. Helena,www.clarkclaudon.com,965-9393,X,Private,,VINTNER'S COLLECTIVE
Claudine Wines,,Napa,www.claudinewines.com,,,Private,,"Negociant model, 2 brothers"
Clif Family Winery,709 Main Streeet,St. Helena,www.cliffamilywinery.com,968-0625,X,Private,,"VeloVino TR, St Helena"
Cliff Lede,1473 Yountville Cross Road ,Yountville,www.cliffledevineyards.com,944-8642 ,X,No,Yes,
Clos Du Val,5330 Silverado Trail  ,Napa,www.closduval.com,261-5200,X,No,,
Clos Pegase,1060 Dunaweal Lane ,Calistoga,www.clospegase.com,942-4981x213,X,No,Yes,
Cobblestone Wines,150 Cotner Ave,LA,www.cobblestonewine.com,259-1110,X,Private,,25 acres in Atlas Peak
Cobden-Wini Wines,1200 Orchard Ave,Napa,www.cobdenwini.com,,,Private,,Mostly non Napa wines
Cockerell Wines,P.O. Box 493,Calistoga,www.coquerelwines.com,942-4534,X,Private,,
COHO,P.O. Box 5726,Napa,www.cohowines.com,258-2566,X,Private,,
Colgin Cellars,220 Long Ranch Road,St. Helena,www.colgincellars.com,963-0999,X,Private,,
Comis Estate,,Napa,www.comisestate.com,927-4390,,Private,,
Component Wine,270 Kruezer Lane,Napa,www.componentwine.com,332-2499,X,Private,,
Conclusion Wines,,,www.conclusionwines.com,404 456-9217,,Private,,Mostly non Napa
Conn Creek/Villa Mt. Eden,8711 Silverado Trail ,St. Helena,www.conncreek.com,963-9100,X,No,,
Constant Diamond Mountain,2121 Diamond Mountain Rd,Calistoga,www.constantwine.com,942-0707,X,Yes,Yes,
Continuum Estate,1677 Sage Canyon Road,St. Helena,www.continuumestate.com,944-8100,X,Private,Yes,Smallest wine cave in NV
Corison,987 St. Helena Highway,St. Helena,www.corison.com,963-0826,X,Yes,,
Cornerstone Cellars,1465 1st Street,Napa,www.cornerstonecellars.com,945-0388,X,Private,,
Corra,1241 Adams St. #1024,St. Helena,www.corrawines.com,963-4523,X,Private,,Celia W's own label
Cosentino,7415 St. Helena Highway ,Yountville,www.cosentinowinery.com,944-1220 ,X,No,,
Coupe de Foudre,135 Camino Dorado,Napa,www.coupdefoudrewine.com,235-8300,,Private,,50/50 Napa St Lucia Highlands
Courtesan Wines,P.O. Box 30,Rutherford,www.courtesanwines.com,415 713-5331,X,Private,,
Covert Estate,15 Chateau Lane,Napa,www.covertestate.com,337-5943,X,Yes,Yes,"Purlieu, Le Pich & Azur"
Covey & Linn Wine,,,www.coveylinnwine.com,,,Private,,Made at Summit Lake?
Crane Family,1051 Borrett Lane,Napa,www.cranefamilyvineyards.com,259-0175,X,Private,,
Cresta Velia,62 Hahnemann Lane,Napa,www.crestavelia.com,815-9099,X,Private,,
Crocker & Starr,700 Dowdell Lane,St. Helena,www.crockerstarr.com,967-9111,X,Private,,NAPA WINE CO (Bridesmaid)
Crosby Roamann,1832 Soscal Ave Suite 115,Napa,www.crosbyroamann.com,266-6291,X,Yes,,
Cuvaison Estate Wines,1221 Duhig Road ,Napa,www.cuvaison.com,942-6266,X,Yes,,
Cyrus Creek,P.O. Box 576,Calistoga,www.cyruscreek.com,415 282-8385,,Private,,
D.R. Stephens Estate,1860 Howell Mountain Rd,St. Helena,www.drstephensestate.com,963-2908,X,Yes,,
Dakota Shy,771 Sage Canyon Road,St. Helena,www.dakotashywine.com,244-1184,X,Yes,,Todd Newman
Dalecio Family Wines,,St. Helena,www.dalecio.com,345-1605,,Yes,,
Dalla Valle,7776 Silverado Trail,Napa,www.dallavallevineyards.com,944-2676,X,Private,,
Dana Estates,1500 Whitehall Lane ,Rutherford,www.danaestates.com,963-4365,X,Private,,Vaso Cellars
Darjean Jones,,,www.darjeanjoneswines.com,266-6547,,Private,,50/50 Napa / Sonoma
Dark Matter Wines,383 Las Posadas Road,Angwin,www.darkmatterwines.com,548-9651,X,Yes,,
Darioush,4240 Silverado Trail ,Napa,www.darioush.com,257-2345,X,Yes,,"Sage Vineyards, Duel Wine, Caravan Serai"
Darms Lane Wine,1150 Darms Lane,Napa,www.darmslanewine.com,224-4218,X,Private,,old Crichton Hall Vineyard
Davis Estates,4060 Silverado Triail N,Calistoga,www.davisestates.com,942-0700,X,Yes,Yes,
David Arthur Vineyards,1521 Sage Canyon Road,St. Helena,www.davidarthur.com,963-5190,X,Yes,,210 Long Ranch Road
David Fulton Winery,825 Fulton Lane,St. Helena,www.davidfultonwinery.com,967-0719,X,Yes,,Me Wine
Decades 5,2370 Market St #127,San Franc.,www.decades5.com,738-0011,,Private,,"One wine, PV - Still producing?"
Del Dotto Estate,1445 Highway 29,St. Helena,www.deldottovineyards.com,963-2134,X,Yes,Yes,
Del Dotto Vineyards,11055 Atlas Peak Road,Napa,www.deldottovineyards.com,963-2134,X,Yes,Yes,Owns Harrison Vineyards
Delectus Winery,1091 S. Helena Highway,St. Helena,www.delectuswinery.com,244-5080,X,Yes,,In old Milat Vineyards Tasting Room
Delgadillo Cellars,995 Vintage Ave #103,St. Helena,www.dcellars.com,963-1729,X,Private,,
Dearden Wines,P.O. Box 4364,Napa,www.deardenwines.com,363-8555,,Private,,Multiple labels: Sleeping Giant ...
Denali Estate Wines,360 Taplin Road,St. Helena,www.denaliestate.com,206 369-9608,,Private,,Walt & Kathryn (Taplin Road)
Depiction Wines,,St. Helena,www.depictionwines.com,,X,Private,,Sebastian Lane
DeSante Wines,P.O. Box 1027,St. Helena,www.desantewines.com,968-9264,X,Private,,
Detert Family Vineyards,1500 Walnut Lane,Oakville,www.detert.com,893-7262,X,Private,,
Diamond Creek Vineyards,1500 Diamond Mountain Rd,Calistoga,www.diamondcreekvineyards.com,942-6926,X,Private,,
Dolce,1350 Acacia Drive ,Oakville,www.dolcewine.com,944-8868,X,Private,Yes,"Made at Far Niente, has own Cave"
Domain Chandon,1 California Drive,Yountville,www.chandon.com,944-2280,X,No,,
Domain Charbay,4001 Spring Mountain Road,St. Helena,www.charbay.com,963-9327,X,Yes,,Production moved to Ukiah??
Domaine Carneros,1240 Duhig Rd,Napa,www.domainecarneros.com,800 716-2788,X,No,,
Dominus Estate,2570 Napanook Road,Yountville,www.dominusestate.com,944-8954,X,Private,,"Napanook, Ulysses Vineyard"
Dos Lagos,4080 Atlas Peak Road,Napa,www.doslagosvineyards.com,278-4080,X,Private,,
Double Plus,1241 Adams St #1111,St. Helena,www.doublepluswines.com,363-3281,,Yes,,
Drinkward Peschon,1547 Main Street,St. Helena,www.drinkwardpeschon.com,963-6156,X,Private,,
Driscoll Wine Company,,St. Helena,www.driscollwineco.com,227-7899,,Private,,"Tilth, some NV, outside of NV Hibou"
Duckhorn,1000 Lodi Lane,Calistoga,www.duckhornvineyards.com,963-7108,X,Yes,,
Duhig Wine,PO Box 387,Napa,www.duhigwine.com,,X,Private,,2016 1st vintage?
Dunn Vineyards,805 White Cottage Road,Angwin,www.dunnvineyards.com,965-3642,X,Private,Yes,
Dutch Henry Winery,4310 Silverado Trail,Calistoga,www.dutchhenry.com,942-5771,X,No,Yes,
Dyer Wine,1501 Diamond Mountain Rd,Calistoga,www.dyerwine.com,942-5502,X,Private,,
E. Gordon Wines,918 Enterprise Way #G,Napa,www.egordonwines.com,253-9338,X,Private,,Punk Dog Wines
Eagle Eye,6595 Gordon Valley Road,Napa,www.eagleeyewine.com,427-1600,X,Private,,
Edge Hill,2585 Sulphur Springs Road,St. Helena,www.edgehill.com,948-2668,X,Private,Yes,Owned by Joel Gott
Egelhoff Wines,1397 Sylvaner Ave,St. Helena,www.bobegelhoff.com,963-4015,X,Private,,Still producing?
Ehlers Estate,3222 Ehlers Lane ,St. Helena,www.ehlersestate.com,963-5972,X,No,,www.leducq.com
Eisele Vineyard Estate,2155 Pickett Road,Calistoga,www.eiselevineyard.com,942-6061,X,Private,Yes,
